date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:54	161274/161274	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202015%2001:42:17%20GMT	http://tkkhalifahjogja.com/resource/doc/banner/141115014216452_ippho.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/banner/141115014216452_ippho.jpg	(from http://tkkhalifahjogja.com/)
17:51:56	30982/30982	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:56%20GMT	http://tkkhalifahjogja.com/public/post/detail/marketday-tk-khalifah-bantul	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/post/detail/marketday-tk-khalifah-bantul.html	(from http://tkkhalifahjogja.com/)
17:51:59	31110/31110	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:59%20GMT	http://tkkhalifahjogja.com/public/post/detail/semarak-guru-memperingati-hut-ri-ke-74	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/post/detail/semarak-guru-memperingati-hut-ri-ke-74.html	(from http://tkkhalifahjogja.com/)
17:52:00	53478/53478	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Sep%202019%2009:42:21%20GMT	http://tkkhalifahjogja.com/resource/doc/news_images/3577-DSC_0555-C.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/news_images/3577-DSC_0555-C.jpg	(from http://tkkhalifahjogja.com/)
17:52:11	59789/59789	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Nov%202016%2004:23:48%20GMT	http://tkkhalifahjogja.com/resource/doc/page/5562-AAB-3.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/page/5562-AAB-3.jpg	(from http://tkkhalifahjogja.com/)
17:52:11	99640/99640	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Sep%202019%2009:17:42%20GMT	http://tkkhalifahjogja.com/resource/doc/news_images/6993-DSC_0555-B.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/news_images/6993-DSC_0555-B.jpg	(from http://tkkhalifahjogja.com/)
17:52:13	22290/22290	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:52:13%20GMT	http://tkkhalifahjogja.com/public/notice/detail/akademi-ayah-bunda-2	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/notice/detail/akademi-ayah-bunda-2.html	(from http://tkkhalifahjogja.com/)
17:52:14	4697/4697	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202015%2002:19:02%20GMT	http://tkkhalifahjogja.com/resource/doc/homepage/icons/sample-icon1.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/homepage/icons/sample-icon1.png	(from http://tkkhalifahjogja.com/)
17:52:16	6626/6626	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202015%2002:19:02%20GMT	http://tkkhalifahjogja.com/resource/doc/homepage/icons/sample-icon2.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/homepage/icons/sample-icon2.png	(from http://tkkhalifahjogja.com/)
17:52:17	4784/4784	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202015%2002:19:02%20GMT	http://tkkhalifahjogja.com/resource/doc/homepage/icons/sample-icon3.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/homepage/icons/sample-icon3.png	(from http://tkkhalifahjogja.com/)
